Name,Calories (per 100g),Protein (g),Carbs (g),Fat (g),Category,Contains Dairy,Serving Size,Serving Unit,Keywords/Tags
Mutton,294,25.6,0.0,21.0,Red Meat,No,100,g,mutton goat meat gosht bakra
Chicken Breast,165,31.0,0.0,3.6,Poultry,No,100,g,murgi chicken breast skinless
Chicken Thigh,209,26.0,0.0,11.0,Poultry,No,100,g,murgi thigh chicken piece
Chicken Wings,203,30.3,0.0,8.1,Poultry,No,100,g,murgi wings chicken party
Whole Egg,155,13.0,1.1,11.0,Egg,No,100,g,anda egg boiled scrambled
Egg White,52,11.0,0.7,0.2,Egg,No,100,g,anda safed egg white protein
Egg Yolk,322,15.9,3.6,26.5,Egg,No,100,g,anda yolk egg yellow
Salmon,208,20.0,0.0,13.0,Fish,No,100,g,salmon fish omega-3
Tuna (Raw),132,28.0,0.0,1.0,Fish,No,100,g,tuna fish protein
Rohu Fish,97,17.0,0.0,2.9,Fish,No,100,g,rohu fish rui machli Indian
Catla Fish,111,19.0,0.0,3.5,Fish,No,100,g,catla fish katla machli
Hilsa Fish,273,21.5,0.0,19.7,Fish,No,100,g,hilsa fish ilish machli bengali
Pomfret,97,18.5,0.0,2.4,Fish,No,100,g,pomfret fish paplet machli
Sardine,208,24.6,0.0,11.5,Fish,No,100,g,sardine fish small oily
Prawns/Shrimp,106,20.3,1.5,1.7,Seafood,No,100,g,jhinga prawn shrimp seafood
Tiger Prawns,90,20.0,0.0,1.0,Seafood,No,100,g,tiger prawn big jhinga seafood
Lobster,89,19.0,0.5,0.9,Seafood,No,100,g,lobster seafood luxury
Crab,97,18.1,0.0,2.0,Seafood,No,100,g,kekda crab seafood
Squid,92,15.6,3.1,1.4,Seafood,No,100,g,squid calamari seafood
Mussels,86,11.9,3.7,2.2,Seafood,No,100,g,mussels shellfish seafood
Lamb,294,25.6,0.0,21.0,Red Meat,No,100,g,lamb meat red meat bakra
Beef,250,26.0,0.0,15.0,Red Meat,No,100,g,beef cow meat gai
Pork,242,27.0,0.0,14.0,Red Meat,No,100,g,pork pig suvar meat
Bacon,541,37.0,1.4,41.6,Pork,No,100,g,bacon pork breakfast rasher
Sausage,301,12.0,3.0,26.6,Processed Meat,No,100,g,sausage frankfurt meat snack
