name,category,calories,protein,carbs,fat,is_veg,serving_size,serving_name,aliases
rice,carbs,130.0,2.7,28.7,0.2,yes,150.0,1 bowl,white rice chawal steamed rice
brown rice,carbs,150.0,3.2,31.0,1.2,yes,150.0,1 bowl,brown rice sabut chawal
basmati rice,carbs,140.0,3.0,30.0,0.2,yes,150.0,1 bowl,basmati long grain rice
roti,carbs,120.0,3.0,20.0,3.0,yes,40.0,1 roti,chapati phulka wheat roti
whole wheat roti,carbs,110.0,3.5,18.5,2.8,yes,40.0,1 roti,atta roti gehun chapati
paratha,carbs,300.0,7.5,40.0,14.0,yes,100.0,1 paratha,paratha stuffed flatbread
aloo paratha,carbs,310.0,7.5,42.0,14.0,yes,110.0,1 paratha,aloo paratha potato stuffed paratha
puri,carbs,150.0,2.5,16.0,8.5,yes,35.0,1 puri,puri fried bread
naan,carbs,290.0,9.2,50.0,6.4,yes,90.0,1 naan,naan tandoor bread
bhatura,carbs,350.0,8.5,50.0,14.0,yes,100.0,1 bhatura,bhatura fried bread chole bhature
jowar roti,carbs,110.0,3.5,22.0,1.2,yes,45.0,1 roti,jowar roti sorghum bhakri
bajra roti,carbs,125.0,3.8,23.5,1.9,yes,45.0,1 roti,bajra roti pearl millet bhakri
makki roti,carbs,130.0,3.5,25.0,2.0,yes,50.0,1 roti,makki roti corn flour roti
ragi roti,carbs,115.0,2.8,22.5,1.0,yes,45.0,1 roti,ragi roti finger millet nachni
poha,carbs,180.0,3.5,31.0,5.0,yes,200.0,1 plate,poha flattened rice beaten rice kanda poha
upma,carbs,220.0,5.5,33.0,8.0,yes,200.0,1 plate,upma sooji upma rava upma
idli,carbs,80.0,2.5,17.0,0.4,yes,60.0,1 idli,idli steamed rice cake south indian
dosa,carbs,120.0,3.5,21.5,2.5,yes,80.0,1 dosa,dosa crispy crepe south indian
masala dosa,carbs,213.0,5.5,37.0,6.0,yes,150.0,1 dosa,masala dosa stuffed dosa
uttapam,carbs,200.0,6.0,34.0,4.5,yes,150.0,1 uttapam,uttapam thick dosa onion uttapam
rava idli,carbs,180.0,4.5,30.0,5.0,yes,120.0,2 idlis,rava idli sooji idli instant idli
semolina (suji),carbs,360.0,10.4,74.8,0.8,yes,30.0,2 tbsp,suji rava semolina sooji
wheat flour (atta),carbs,341.0,12.1,69.4,1.7,yes,30.0,3 tbsp,atta gehun flour whole wheat
maida,carbs,348.0,10.3,73.9,0.9,yes,30.0,3 tbsp,maida refined flour all purpose flour
sabudana,carbs,350.0,0.2,86.0,0.0,yes,100.0,100g,sabudana sago tapioca pearls
oats,carbs,150.0,5.5,27.0,3.5,yes,40.0,1 bowl dry,oats porridge daliya oatmeal
daliya,carbs,130.0,3.0,26.5,0.8,yes,150.0,1 bowl cooked,daliya broken wheat porridge lapsi
vermicelli,carbs,280.0,8.0,57.0,1.0,yes,80.0,1 bowl dry,sewai seviyan vermicelli
