name,calories,protein,carbs,fat,category,is_veg,serving_size,serving_name,aliases
Rice,130,2.7,28.7,0.2,carbs,yes,150,1 bowl,white rice chawal steamed rice
Brown Rice,150,3.2,31.0,1.2,carbs,yes,150,1 bowl,brown rice sabut chawal
Basmati Rice,140,3.0,30.0,0.2,carbs,yes,150,1 bowl,basmati long grain rice
Roti,120,3.0,20.0,3.0,carbs,yes,40,1 roti,chapati phulka wheat roti
Whole Wheat Roti,110,3.5,18.5,2.8,carbs,yes,40,1 roti,atta roti gehun chapati
Paratha,300,7.5,40.0,14.0,carbs,yes,100,1 paratha,paratha stuffed flatbread
Aloo Paratha,310,7.5,42.0,14.0,carbs,yes,110,1 paratha,aloo paratha potato stuffed paratha
Puri,150,2.5,16.0,8.5,carbs,yes,35,1 puri,puri fried bread
Naan,290,9.2,50.0,6.4,carbs,yes,90,1 naan,naan tandoor bread
Bhatura,350,8.5,50.0,14.0,carbs,yes,100,1 bhatura,bhatura fried bread chole bhature
Jowar Roti,110,3.5,22.0,1.2,carbs,yes,45,1 roti,jowar roti sorghum bhakri
Bajra Roti,125,3.8,23.5,1.9,carbs,yes,45,1 roti,bajra roti pearl millet bhakri
Makki Roti,130,3.5,25.0,2.0,carbs,yes,50,1 roti,makki roti corn flour roti
Ragi Roti,115,2.8,22.5,1.0,carbs,yes,45,1 roti,ragi roti finger millet nachni
Poha,180,3.5,31.0,5.0,carbs,yes,200,1 plate,poha flattened rice beaten rice kanda poha
Upma,220,5.5,33.0,8.0,carbs,yes,200,1 plate,upma sooji upma rava upma
Idli,80,2.5,17.0,0.4,carbs,yes,60,1 idli,idli steamed rice cake south indian
Dosa,120,3.5,21.5,2.5,carbs,yes,80,1 dosa,dosa crispy crepe south indian
Masala Dosa,213,5.5,37.0,6.0,carbs,yes,150,1 dosa,masala dosa stuffed dosa
Uttapam,200,6.0,34.0,4.5,carbs,yes,150,1 uttapam,uttapam thick dosa onion uttapam
Rava Idli,180,4.5,30.0,5.0,carbs,yes,120,2 idlis,rava idli sooji idli instant idli
Semolina (Suji),360,10.4,74.8,0.8,carbs,yes,30,2 tbsp,suji rava semolina sooji
