name,category,calories,protein,carbs,fat,is_veg
white rice,grain,130,2.7,28.0,0.3,yes
brown rice,grain,112,2.6,23.5,0.9,yes
basmati rice,grain,121,3.0,25.2,0.4,yes
roti,grain,300,11.0,60.0,5.0,yes
naan,grain,260,9.0,45.0,5.0,yes
plain paratha,grain,300,7.0,40.0,12.0,yes
pasta,grain,130,5.0,25.0,1.0,yes
noodles,grain,138,4.5,25.0,2.0,yes
oats,grain,389,16.9,66.3,6.9,yes
quinoa,grain,120,4.4,21.3,1.9,yes
semolina,grain,360,12.7,72.8,1.0,yes
buckwheat,grain,343,13.3,71.5,3.4,yes
millet,grain,378,11.0,72.8,4.2,yes
corn flour,grain,364,7.0,78.0,2.8,yes
whole wheat flour,grain,340,13.2,72.0,2.5,yes
idli,grain,110,4.0,23.0,1.0,yes
dosa,grain,170,4.5,30.0,4.0,yes
uttapam,grain,180,5.0,32.0,4.5,yes
poha,grain,110,2.5,23.0,1.0,yes
upma,grain,120,3.0,22.0,2.0,yes
dal chawal,grain,140,5.0,28.0,1.5,yes
curd rice,grain,150,4.5,27.0,2.5,yes
lemon rice,grain,160,3.5,30.0,3.0,yes
tomato rice,grain,155,3.8,29.0,2.8,yes
coconut rice,grain,180,4.0,30.0,5.0,yes
biryani,grain,190,6.0,32.0,5.0,no
fried rice,grain,170,5.0,31.0,4.0,no
pulao,grain,150,4.5,28.0,3.0,yes
khichdi,grain,120,4.0,23.0,1.5,yes
bread white,grain,265,9.0,49.0,3.2,yes
brown bread,grain,250,10.0,46.0,4.0,yes
multigrain bread,grain,260,11.0,45.0,4.5,yes
pav,grain,290,8.0,50.0,6.0,yes
croissant,grain,406,8.0,45.0,21.0,yes
bagel,grain,270,10.0,53.0,1.5,yes
toor dal,legume,130,9.0,18.0,3.0,yes
moong dal,legume,120,10.0,18.0,1.5,yes
masoor dal,legume,116,9.0,20.0,0.5,yes
chana dal,legume,140,9.0,20.0,3.0,yes
urad dal,legume,140,11.0,20.0,3.0,yes
rajma,legume,127,8.7,22.8,0.5,yes
chole,legume,139,7.5,22.5,2.5,yes
lobia,legume,116,7.5,20.0,0.5,yes
matki,legume,130,8.0,21.0,1.0,yes
green peas,fruit,81,5.4,14.5,0.4,yes
apple,fruit,52,0.3,14.0,0.2,yes
banana,fruit,89,1.1,22.8,0.3,yes
mango,fruit,60,0.8,15.0,0.4,yes
orange,fruit,47,0.9,11.8,0.1,yes
papaya,fruit,43,0.5,11.0,0.3,yes
watermelon,fruit,30,0.6,7.6,0.2,yes
muskmelon,fruit,34,0.8,8.2,0.2,yes
grapes,fruit,69,0.7,18.0,0.2,yes
pomegranate,fruit,83,1.7,18.7,1.2,yes
guava,fruit,68,2.6,14.3,0.9,yes
pear,fruit,57,0.4,15.2,0.1,yes
pineapple,fruit,50,0.5,13.1,0.1,yes
chickoo,fruit,83,0.4,20.0,1.1,yes
lychee,fruit,66,0.8,16.5,0.4,yes
jamun,fruit,62,0.7,15.6,0.2,yes
kiwi,fruit,61,1.1,14.7,0.5,yes
strawberry,fruit,32,0.7,7.7,0.3,yes
blueberry,fruit,57,0.7,14.5,0.3,yes
dragon fruit,fruit,60,1.2,13.0,0.3,yes
custard apple,fruit,101,1.7,25.2,0.6,yes
potato,vegetable,77,2.0,17.5,0.1,yes
tomato,vegetable,18,0.9,3.9,0.2,yes
onion,vegetable,40,1.1,9.3,0.1,yes
carrot,vegetable,41,0.9,9.6,0.2,yes
cauliflower,vegetable,25,1.9,5.0,0.3,yes
cabbage,vegetable,25,1.3,5.8,0.1,yes
spinach,vegetable,23,2.9,3.6,0.4,yes
brinjal,vegetable,25,1.0,5.9,0.2,yes
okra,vegetable,33,1.9,7.5,0.2,yes
pumpkin,vegetable,26,1.0,6.5,0.1,yes
bitter gourd,vegetable,20,1.0,4.3,0.2,yes
bottle gourd,vegetable,14,0.6,3.4,0.1,yes
ridge gourd,vegetable,18,0.8,4.0,0.1,yes
capsicum,vegetable,20,0.9,4.6,0.2,yes
green beans,vegetable,31,1.8,6.9,0.2,yes
cucumber,vegetable,15,0.7,3.6,0.1,yes
radish,vegetable,16,0.7,3.4,0.1,yes
beetroot,vegetable,43,1.6,9.6,0.2,yes
sweet potato,vegetable,86,1.6,20.1,0.1,yes
yam,vegetable,118,1.5,27.9,0.2,yes
taro root,vegetable,112,1.5,26.5,0.2,yes
drumstick,vegetable,64,2.1,12.0,0.1,yes
fenugreek leaves,vegetable,49,4.4,6.0,1.0,yes
amaranth leaves,vegetable,23,2.5,4.0,0.3,yes
mint,vegetable,44,3.3,8.4,0.7,yes
coriander leaves,vegetable,23,2.1,3.7,0.5,yes
curry leaves,vegetable,108,6.0,18.0,1.0,yes
broccoli,vegetable,34,2.8,6.6,0.4,yes
zucchini,vegetable,17,1.2,3.1,0.3,yes
mushroom,vegetable,22,3.1,3.3,0.3,yes
asparagus,vegetable,20,2.2,3.9,0.1,yes
celery,vegetable,14,0.7,3.0,0.2,yes
lettuce,vegetable,15,1.4,2.9,0.2,yes
cow milk,dairy,61,3.2,4.8,3.3,yes
buffalo milk,dairy,97,3.8,5.5,6.9,yes
curd,dairy,98,3.3,4.7,8.0,yes
paneer,dairy,265,18.0,6.0,20.0,yes
ghee,dairy,900,0.0,0.0,100.0,yes
butter,dairy,717,0.9,0.1,81.1,yes
cream,dairy,345,2.8,3.0,36.0,yes
cheese cheddar,dairy,404,25.0,1.3,33.0,yes
cheese mozzarella,dairy,280,22.0,3.0,20.0,yes
processed cheese,dairy,330,20.0,8.0,25.0,yes
buttermilk,dairy,40,3.3,4.9,0.5,yes
lassi sweet,dairy,90,2.5,18.0,1.0,yes
lassi salted,dairy,50,3.0,6.0,1.5,yes
mango lassi,dairy,95,2.5,19.0,1.2,yes
ice cream vanilla,dairy,207,3.5,23.6,11.0,yes
yogurt greek,dairy,59,10.0,3.6,0.4,yes
kulfi,dairy,220,6.0,25.0,12.0,yes
rabri,dairy,300,8.0,35.0,15.0,yes
chhena,dairy,260,18.0,7.0,18.0,yes
chicken breast,meat,165,31.0,0.0,3.6,no
chicken thigh,meat,209,26.0,0.0,11.0,no
chicken leg,meat,184,27.0,0.0,8.0,no
chicken wing,meat,203,30.0,0.0,8.0,no
mutton,meat,243,25.0,0.0,16.0,no
lamb,meat,258,25.0,0.0,17.0,no
pork,meat,242,27.0,0.0,14.0,no
beef,meat,250,26.0,0.0,15.0,no
rohu fish,meat,112,17.0,0.0,4.5,no
pomfret,meat,141,18.0,0.0,7.0,no
basa fish,meat,90,15.0,0.0,3.0,no
salmon,meat,208,20.0,0.0,13.0,no
tuna,meat,132,28.0,0.0,1.5,no
mackerel,meat,205,18.0,0.0,14.0,no
sardines,meat,208,25.0,0.0,11.0,no
prawns,meat,85,18.0,0.0,1.0,no
crab,meat,87,18.0,0.0,1.5,no
squid,meat,92,15.0,3.0,1.5,no
egg whole,meat,155,13.0,1.1,11.0,no
egg white,meat,52,11.0,0.7,0.2,no
egg yolk,meat,322,15.9,3.6,26.5,no
samosa,snack,270,4.5,31.0,14.0,yes
kachori,snack,350,5.0,40.0,18.0,yes
